county,fips,white_pct,edu,density
Appling,13001,0.6869901011639291,9.7,3.590676002353174
Barrow,13013,0.693620855358001,17.6,6.252373839805989
Bryan,13029,0.7223105458399576,32.6,4.5096925494497215
Candler,13043,0.6124224752383597,14.1,3.7943531134695223
Chattooga,13055,0.8247609826939368,9.8,4.370866422403953
Clarke,13059,0.5515814573251981,42.7,6.981565387987089
Colquitt,13071,0.5539473684210526,12.5,4.4284380513604065
Crawford,13079,0.7278297323444051,10.3,3.6422876167200977
Dodge,13091,0.6449890803203107,13.7,3.7269349158370715
Emanuel,13107,0.590832818157732,12.4,3.5047637528071793
Fayette,13113,0.6056580522806129,46.5,6.378030705103852
Gilmer,13123,0.8553348847588383,20.0,4.297869273917121
Wheeler,13309,0.5614258434118395,12.8,3.2803043980291844
Whitfield,13313,0.5714722636387966,15.7,5.886700608036158
Wilkinson,13319,0.5680142952870225,10.6,2.9966037722516234
Glascock,13125,0.8751262201279031,9.0,3.028647763422311
Gordon,13129,0.766799510032262,14.4,5.093163274415369
Grady,13131,0.57366134859741,14.1,3.992578368337045
Hall,13139,0.6008286009166459,24.0,6.2547850455938585
Jackson,13157,0.8071447168285898,21.0,5.369954484716248
Jones,13169,0.7095528101618236,20.1,4.289697942402818
Laurens,13175,0.5741387288099945,15.6,4.075757596057248
Lumpkin,13187,0.9024992561737578,26.2,4.777379403495249
Marion,13197,0.5910994138054791,13.1,3.12846074829779
Miller,13201,0.6703392794683456,12.3,3.0079790482411513
Newton,13217,0.43929875429553267,19.6,6.017575691111667
Peach,13225,0.4474333841574094,19.4,5.211178937439642
Polk,13233,0.7164245652735081,12.2,4.92227840261084
Randolph,13243,0.3511360283269401,11.7,2.761753566081871
Seminole,13253,0.6144622991347343,14.4,3.5378202511415973
Taliaferro,13265,0.38126219908913467,7.0,2.066590187645522
Tift,13277,0.5511268575927566,16.5,5.056087368928463
Troup,13285,0.5582363204713824,18.5,5.129293795095104
Upson,13293,0.6714665653495441,13.7,4.3990707601067385
Washington,13303,0.4216648669873368,14.0,3.40220407255805
Heard,13149,0.8461796527719534,9.8,3.6957637862664217
Cobb,13067,0.5114985246158279,46.5,7.713638009810625
Coffee,13069,0.5729900861969357,13.2,4.3207402241966255
Columbia,13073,0.6740814477328126,35.1,6.291986547385225
Coweta,13077,0.7050347117009743,29.8,5.819605430222365
Crisp,13081,0.4919989272304667,13.7,4.407633306942111
Decatur,13087,0.4943190425693077,14.6,3.7891192010456147
Dooly,13093,0.42135922330097086,11.3,3.5311546718343103
Dougherty,13095,0.24265541861840012,21.4,5.589476911089277
Echols,13101,0.6100848726909636,8.8,2.2675350913707035
Effingham,13103,0.7774667164364812,20.1,4.902269779496638
Evans,13109,0.5630749014454665,15.5,4.065024542881554
Floyd,13115,0.7056589981522468,20.4,5.263557282828142
Franklin,13119,0.8293717075677759,13.5,4.49187515212252
Atkinson,13003,0.5601959583588487,9.9,3.1804915818598856
Bacon,13005,0.7337871730562522,10.1,3.7652444708298054
Baldwin,13009,0.523546446870127,20.9,5.1596310942687955
Bartow,13015,0.7693571441831109,19.5,5.457231643704946
Bleckley,13023,0.6776975064087625,17.2,4.088210999012849
Brantley,13025,0.9175781045580617,8.2,3.765790677034212
Bulloch,13031,0.6329263390614008,27.4,4.773406897488691
Calhoun,13037,0.3273549846501858,9.4,3.0944186423170317
Charlton,13049,0.6020758661887694,10.5,2.851383702078455
Chattahoochee,13053,0.5697258641239571,33.4,3.780751889703148
Cherokee,13057,0.7781723750159406,37.0,6.419483490899617
Clayton,13063,0.0909613489543414,19.5,7.632591115085
Wilkes,13317,0.5139613378336914,12.6,3.036140968338712
Worth,13321,0.6774830839136662,10.4,3.5688982358688537
Habersham,13137,0.7685095305330039,18.7,5.09860178482906
Hancock,13141,0.24429466713964762,8.8,2.8861098347152563
Hart,13147,0.7464987597786682,15.1,4.725288516444192
Irwin,13155,0.6684367034834324,14.3,3.2799087447678215
Jasper,13159,0.7466769815036219,10.8,3.6537895893747687
Jenkins,13165,0.5043798985707699,9.3,3.218184500955427
Lamar,13171,0.6519893064947319,17.1,4.644024032440893
Lanier,13173,0.6806101890050849,16.4,4.030009937913441
Lincoln,13181,0.6667087488953415,13.5,3.628357320153152
Morgan,13211,0.7292488068063914,20.8,4.016283160621334
Muscogee,13215,0.3963395634651043,26.2,6.807608336538912
Quitman,13239,0.47629404088734234,9.1,2.721361545740449
McIntosh,13191,0.6216441786062039,15.6,3.523013787335538
Paulding,13223,0.6842180153794163,24.1,6.291973568355604
Lowndes,13185,0.5297173909340238,25.6,5.466676246596161
McDuffie,13189,0.5313907657657657,13.7,4.416161205108628
Madison,13195,0.8070281124497992,18.0,4.661938881306163
Meriwether,13199,0.5671091793830019,11.5,3.7431535176645614
Mitchell,13205,0.4553812377075424,11.1,3.7540505984350934
Montgomery,13209,0.6607064980375055,14.1,3.645273723306477
Murray,13213,0.8180616520351157,9.4,4.757024853762594
Oglethorpe,13221,0.7516219935775608,16.9,3.5484025800327226
Pierce,13229,0.8379655792447983,11.9,4.119081614536095
Pike,13231,0.8709524311781458,15.9,4.474497267908523
Pulaski,13235,0.6183891532728742,12.4,3.8004548062580463
Rabun,13241,0.8805508548754157,24.8,3.8355191694148427
Rockdale,13247,0.2893196620313325,26.5,6.551553515097241
Spalding,13255,0.575311455256885,16.4,5.82749546050543
Stephens,13257,0.8194792671166827,22.1,4.974851233870718
Tattnall,13267,0.5750217511666534,13.2,3.9654708398715592
Taylor,13269,0.5790523690773067,11.2,3.058271132838259
Thomas,13275,0.5755551056219208,23.1,4.402091157637185
Toombs,13279,0.6013045098770033,15.8,4.30009460363282
Towns,13281,0.9337044113981889,26.2,4.280384913513076
Twiggs,13289,0.550615763546798,9.4,3.120435752054948
Walker,13295,0.905448603087685,15.9,5.051659786146464
Warren,13301,0.38332698896079176,13.4,2.916714951588531
Banks,13011,0.8732972860559426,12.8,4.4173095977974235
Berrien,13019,0.8089395267309377,11.8,3.7594127775010575
Brooks,13027,0.5625929999353044,15.2,3.4452066653739806
Burke,13033,0.47777331010141627,12.6,3.2982886024691958
Camden,13039,0.6932279661947097,24.5,4.490583348562098
Chatham,13051,0.47825726427806375,33.2,6.520197073475153
Clay,13061,0.36273817925194074,7.9,2.674498040025829
Baker,13007,0.47860434496379195,12.3,2.184319400080755
Bibb,13021,0.37439523632303684,25.7,6.41873141968292
Butts,13035,0.6571222329162656,11.4,4.9070147417301
Catoosa,13047,0.9046167505179047,20.8,6.032483858124537
Clinch,13065,0.6444545179812632,11.1,2.1126617986191993
Cook,13075,0.6418645049218298,15.5,4.3310715561314925
Dawson,13085,0.9129385628926,30.4,4.818944938223206
Early,13099,0.4419038272816487,15.6,2.989685820865698
Forsyth,13117,0.6898981379886346,51.7,6.994220424619539
Webster,13307,0.5132336018411968,11.7,2.5230471640575898
White,13311,0.9205143191116306,21.4,4.8516952333546834
Wilcox,13315,0.5887666473653734,11.4,3.1294522851736675
Dade,13083,0.9334202035244478,13.9,4.528627496231843
DeKalb,13089,0.29332132222305635,43.4,7.95072969714054
Douglas,13097,0.3742030708677559,27.1,6.5950411551205725
Elbert,13105,0.6341044076273835,10.8,4.0013958601493735
Fannin,13111,0.9442492744768596,21.3,4.215355652605809
Fulton,13121,0.3958674244809608,51.4,7.610969533444777
Glynn,13127,0.6361206209257609,29.6,5.314176646488474
Greene,13133,0.5839336389434622,25.8,3.856405956911659
Haralson,13143,0.9084989258861439,14.0,4.6594854538924055
Houston,13153,0.5491913874688813,27.3,6.041117857098071
Jefferson,13163,0.42077854446035673,11.0,3.3734198685172996
Long,13183,0.5720128840942789,15.5,3.8890015331150787
Macon,13193,0.32764346952962076,8.6,3.475556111586968
Monroe,13207,0.7271738342156792,26.3,4.24421837580174
Oconee,13219,0.8371400198609732,51.1,5.3870997429885525
Pickens,13227,0.9331103678929766,23.7,4.944795496700431
Putnam,13237,0.661377096613771,22.2,4.161691852689737
Schley,13249,0.7211337264599581,12.9,3.449861055829122
Stewart,13259,0.22292705029451745,11.2,2.6695398932366765
Telfair,13271,0.49041614123581334,8.4,3.590936036769964
Treutlen,13283,0.6377336617881466,13.6,3.5439081684052995
Walton,13297,0.7319146237036567,19.9,5.671423452335754
Gwinnett,13135,0.3538584779706275,36.1,7.684969274447168
Harris,13145,0.7652117152911795,29.9,4.330219225672847
Henry,13151,0.399780867237094,28.3,6.590515770196053
Jeff Davis,13161,0.703870327489249,10.0,3.822110338991508
Johnson,13167,0.6187908327284041,10.4,3.460221734245282
Lee,13177,0.6974859962656709,25.6,4.434373396118624
Liberty,13179,0.3771628550500529,18.3,4.831737839783604
Turner,13287,0.5342517219787101,12.5,3.3314633947626375
Union,13291,0.9361103178164906,22.4,4.332543144756331
Ware,13299,0.6290647562545475,13.9,3.6898762007708426
Wayne,13305,0.710963344137401,12.9,3.8422707961096165
Ben Hill,13017,0.5479041916167665,12.0,4.201223195705749
Carroll,13045,0.7039635975731715,20.6,5.482413949332375
Richmond,13245,0.33732310214400696,21.3,6.436822534494447
Screven,13251,0.5479736502935701,14.2,3.0749757398677846
Sumter,13261,0.3902926432732692,18.6,4.113563428223496
Talbot,13263,0.40790960451977404,12.0,2.7617932887378247
Terrell,13273,0.3566990974094479,12.3,3.2360187640461877
